what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1374025203061
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1374025203069
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1374025203111
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1374025203147
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1374025203157
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1374025203157
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1374025203167
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1374025203180
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1374025203197
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1374025203201
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1374025203251
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1374025203255
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1374025203276
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1374025203284
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1374025203314
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1374025203323
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1374025203343
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1374025203362
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1374025203389
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1374025203389
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1374025203406
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1374025203423
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1374025203426
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1374025203437
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1374025203481
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1374025203501
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1374025203508
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1374025203515
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1374025203542
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1374025203550
os,sysinfo,,,"macosx",1374025203555
arch,sysinfo,,,"x86",1374025203555
ws,sysinfo,,,"cocoa",1374025203555
locale,sysinfo,,,"en_US",1374025203555
processors,sysinfo,,,"4",1374025203555
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1374025203555
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1374025203555
java.specification.name,sysinfo,,,"Java Platform API Specification",1374025203555
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1374025203555
java.specification.version,sysinfo,,,"1.6",1374025203555
java.vendor,sysinfo,,,"Apple Inc.",1374025203555
java.version,sysinfo,,,"1.6.0_29",1374025203555
java.vm.info,sysinfo,,,"mixed mode",1374025203555
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1374025203555
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374025203555
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1374025203555
java.vm.specification.version,sysinfo,,,"1.0",1374025203555
java.vm.vendor,sysinfo,,,"Apple Inc.",1374025203555
java.vm.version,sysinfo,,,"20.4-b02-402",1374025203555
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1374025203664
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1374025204178
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1374025204179
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1374025204713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374025205333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374025207711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374025250043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374026143127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374026150724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374029783500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374029783892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374029785452
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1374029785734
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1374029786584
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1374029786890
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1374029786918
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1374029786938
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1374029786956
